case_id,source_year,stock_code_raw,stock_code_wind,dataset_split,official_match_status,official_match_method,official_listed_date,institution_id,security_id,selected_name,has_ipo_information,has_institution_info,has_delisted_info,official_ipo_price,official_offer_price,official_delisted_date,official_listing_board_id,official_list_method,official_industry_name,official_funds_raised,official_net_proceed,eod_available,first_eod_trade_date,listed_date_eod_relation,source_workbook,source_workbook_sha256,notes
ipo_2020_01957,2020,01957,1957.HK,development,matched,symbol+source_year+ipo,2020-07-08,10485978,201004188363,MBV International,true,true,false,0.8,0.8000,,P3401,全球發售,服装,"125,600,000","61,900,000",true,20200708,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01961,2020,01961,1961.HK,development,matched,symbol+source_year+ipo,2020-03-17,10484281,201004188203,九尊数字互娱,true,true,false,1.35,1.3500,,P3401,全球發售,游戏软件,"170,100,000","100,200,000",true,20200317,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01971,2020,01971,1971.HK,development,matched,symbol+source_year+ipo,2020-07-07,10493625,201004189784,弘阳服务集团,true,true,false,4.15,4.1500,,P3401,全球發售,物业服务及管理,"477,250,000","426,100,000",true,20200707,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_01981,2020,01981,1981.HK,development,matched,symbol+source_year+ipo,2020-07-15,10494084,201004189820,华夏视听教育,true,true,false,3.1,3.1000,,P3401,全球發售,教育,"1,426,000,000","1,332,800,000",true,20200715,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02057,2020,02057,2057.HK,development,matched,symbol+source_year+ipo,2020-09-29,10393988,201004191284,中通快递─SW,true,true,false,218,218.0000,,P3401,全球發售,航空货运及物流,"11,281,500,000","11,134,130,000",true,20200929,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02096,2020,02096,2096.HK,development,matched,symbol+source_year+ipo,2020-10-27,10503255,201004191564,先声药业,true,true,false,13.7,13.7000,,P3401,全球發售,药品,"3,610,278,800","3,431,870,000",true,20201027,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02101,2020,02101,2101.HK,development,matched,symbol+source_year+ipo,2020-09-18,10498193,201004191068,福禄控股,true,true,false,8.9,8.9000,,P3401,全球發售,互动媒体及服务,"890,000,000","826,600,000",true,20200918,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02107,2020,02107,2107.HK,development,matched,symbol+source_year+ipo,2020-10-22,10502943,201004191547,第一服务控股,true,true,false,2.4,2.4000,,P3401,全球發售,物业服务及管理,"600,000,000","543,700,000",true,20201022,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02110,2020,02110,2110.HK,development,matched,symbol+source_year+ipo,2020-12-07,10510473,201004192164,裕勤控股,true,true,false,0.225,0.2250,,P3401,股份發售,重型基建,"125,100,000","83,400,000",true,20201207,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02115,2020,02115,2115.HK,development,matched,symbol+source_year+ipo,2020-10-15,10500683,201004191347,捷心隆,true,true,true,,0.3600,2025-01-09,P3401,全球發售,楼宇建造,"126,000,000","56,400,000",true,20201015,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02117,2020,02117,2117.HK,development,matched,symbol+source_year+ipo,2020-12-11,10511788,201004192264,大唐集团控股,true,true,true,,4.5600,2024-10-29,P3401,全球發售,地产发展商,"1,657,760,640","1,571,700,000",true,20201211,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02125,2020,02125,2125.HK,development,matched,symbol+next_year+ipo,2021-01-15,10523440,201004192846,稻草熊娱乐,true,true,false,5.88,5.8800,,P3401,全球發售,影视娱乐,"1,121,004,000","1,071,100,000",true,20210115,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02126,2020,02126,2126.HK,development,matched,symbol+source_year+ipo,2020-11-03,10505164,201004191744,药明巨诺─B,true,true,false,23.8,23.8000,,P3401,全球發售,生物技术,"2,604,231,700","2,464,700,000",true,20201103,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02127,2020,02127,2127.HK,development,matched,symbol+source_year+ipo,2020-12-29,10515265,201004192587,汇森家居,true,true,false,1.77,1.7700,,P3401,全球發售,家具,"1,449,789,300","1,382,900,000",true,20201229,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02129,2020,02129,2129.HK,development,matched,symbol+next_year+ipo,2021-01-13,10523399,201004192828,Legion Consortium,true,true,false,0.4,0.4000,,P3401,股份發售,公路运输,"93,750,000","41,600,000",true,20210113,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02130,2020,02130,2130.HK,development,matched,symbol+source_year+ipo,2020-10-15,10502047,201004191507,嘉泓物流,true,true,false,2.66,2.6600,,P3401,全球發售,航空货运及物流,"142,842,000","87,400,000",true,20201015,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02131,2020,02131,2131.HK,development,matched,symbol+source_year+ipo,2020-12-17,10513191,201004192470,云想科技,true,true,false,6.98,6.9800,,P3401,全球發售,广告及宣传,"1,593,659,640","1,484,100,000",true,20201217,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02132,2020,02132,2132.HK,development,matched,symbol+source_year+ipo,2020-10-20,10502055,201004191509,誉燊丰控股,true,true,false,0.325,0.3250,,P3401,股份發售,重型基建,"104,000,000","58,700,000",true,20201020,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02135,2020,02135,2135.HK,development,matched,symbol+source_year+ipo,2020-12-28,10515701,201004192607,瑞丽医美,true,true,false,0.4,0.4000,,P3401,全球發售,医疗及医学美容服务,"150,616,000","81,700,000",true,20201228,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02142,2020,02142,2142.HK,development,matched,symbol+source_year+ipo,2020-12-10,10511863,201004192286,和铂医药─B,true,true,false,12.38,12.3800,,P3401,全球發售,生物技术,"1,711,175,980","1,598,800,000",true,20201210,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02146,2020,02146,2146.HK,development,matched,symbol+next_year+ipo,2021-01-15,10508312,201004192855,荣万家,true,true,false,13.46,13.4600,,P3401,全球發售,物业服务及管理,"1,265,240,000","1,168,000,000",true,20210115,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02148,2020,02148,2148.HK,development,matched,symbol+source_year+ipo,2020-12-18,10513305,201004192486,Vesync,true,true,true,,5.5200,2025-05-08,P3401,全球發售,家庭电器,"1,783,788,000","1,662,900,000",true,20201218,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02153,2020,02153,2153.HK,development,matched,symbol+next_year+ipo,2021-01-13,10523394,201004192827,达丰设备,true,true,false,1.73,1.7300,,P3401,全球發售,重型机械,"504,675,600","453,700,000",true,20210113,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
ipo_2020_02158,2020,02158,2158.HK,development,matched,symbol+next_year+ipo,2021-01-15,10523481,201004192850,医渡科技,true,true,false,26.3,26.3000,,P3401,全球發售,医疗及医学美容服务,"4,731,830,000","4,494,500,000",true,20210115,eod_starts_on_listed_date,HK_Official_Merged_565_First_with_IPO.xlsx,2cc214e1f027f44de582eddb02b13dfc2f43f57cc8c530250431ad36ed222e25,
