run_id,category,status,primary_summary,selected_mode,case_count,m1_numerator,m1_denominator,m1,m2_numerator,m2_denominator,m2,real_llm_case_count,structured_scope_valid_count,call_count,fallback_count,transport_failure_count,response_validation_failure_count,validation_opened,blind_2025_outcome_accessed,summary_artifact_count
ablation/batch074_concentration_structural_ranking_probe,ablation,complete,ablation_summary.json,offline,12,0,20,0.0,0,25,0.0,0,0,0,0,0,0,False,False,5
ablation/batch075_qualitative_concentration_review_probe,ablation,complete,ablation_summary.json,offline,3,3,6,0.5,3,6,0.5,0,0,0,0,0,0,False,False,5
ablation/batch076_all79_qualitative_concentration_review,ablation,complete,ablation_summary.json,offline,79,33,102,0.3235294117647059,62,191,0.32460732984293195,0,0,0,0,0,0,False,False,5
ablation/batch077_fresh20_qualitative_concentration_transfer,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/batch077a_fresh20_shadow_capture,ablation,complete,ablation_summary.json,offline,20,19,50,0.38,36,98,0.3673469387755102,20,45,80,35,35,0,False,False,5
ablation/batch077b_fresh20_gated_replay,ablation,complete,ablation_summary.json,offline,20,19,50,0.38,36,98,0.3673469387755102,20,45,80,35,35,0,False,False,5
ablation/batch078_deep_concentration_evidence_probe,ablation,complete,ablation_summary.json,offline,6,11,17,0.6470588235294118,22,46,0.4782608695652174,0,0,0,0,0,0,False,False,5
ablation/cache_smoke_001,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/fixer_001_table_offline,ablation,complete,ablation_summary.json,offline,10,3,30,0.1,6,48,0.125,0,0,0,0,0,0,False,False,5
ablation/fixer_002_offline,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/fixer_002_offline_v2,ablation,complete,ablation_summary.json,offline,10,4,30,0.13333333333333333,6,48,0.125,0,0,0,0,0,0,False,False,5
ablation/fixer_002_preflight,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/fixer_002_real,ablation,complete,ablation_summary.json,gated,10,6,30,0.2,8,48,0.16666666666666666,10,34,36,2,0,1,False,False,5
ablation/fixer_003_offline,ablation,complete,ablation_summary.json,offline,10,5,30,0.16666666666666666,7,48,0.14583333333333334,0,0,0,0,0,0,False,False,5
ablation/fixer_003_real,ablation,complete,ablation_summary.json,gated,10,10,30,0.3333333333333333,12,48,0.25,10,33,36,3,0,3,False,False,5
ablation/forensic_012,ablation,complete,ablation_summary.json,gated,10,9,30,0.3,12,48,0.25,10,37,40,3,0,3,False,False,5
ablation/forensic_013,ablation,complete,ablation_summary.json,gated,10,7,30,0.23333333333333334,12,48,0.25,10,38,40,2,0,2,False,False,5
ablation/main_candidate_offline,ablation,complete,ablation_summary.json,offline,10,5,30,0.16666666666666666,7,48,0.14583333333333334,0,0,0,0,0,0,False,False,5
ablation/main_candidate_real,ablation,complete,ablation_summary.json,gated,10,8,30,0.26666666666666666,11,48,0.22916666666666666,10,33,35,2,0,1,False,False,5
ablation/preflight_001,ablation,preflight_only,,,,,,,,,,,,,,,,,,1
ablation/profile_warm_offline_00368,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/retrieval_cache_cold_00368_v2,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/retrieval_cache_metrics_warm_00368,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/retrieval_cache_metrics_warm_00368_v2,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/retrieval_cache_warm_00368_v2,ablation,complete,ablation_summary.json,offline,1,2,3,0.6666666666666666,5,8,0.625,0,0,0,0,0,0,False,False,5
ablation/trace_001_offline,ablation,complete,ablation_summary.json,offline,10,3,30,0.1,4,48,0.08333333333333333,0,0,0,0,0,0,False,False,5
ablation/trace_002_offline,ablation,complete,ablation_summary.json,offline,10,3,30,0.1,4,48,0.08333333333333333,0,0,0,0,0,0,False,False,5
ablation/trace_003_offline,ablation,complete,ablation_summary.json,offline,10,3,30,0.1,4,48,0.08333333333333333,0,0,0,0,0,0,False,False,5
ablation/trace_004_offline,ablation,complete,ablation_summary.json,offline,10,3,30,0.1,4,48,0.08333333333333333,0,0,0,0,0,0,False,False,5
autonomous,autonomous,preflight_only,,,,,,,,,,,,,,,,,,2
autonomous/batch004_fixed10,autonomous,complete,ablation_summary.json,offline,10,8,30,0.26666666666666666,12,48,0.25,10,37,40,3,0,3,False,False,5
